"","X","id","texts","date1","days","from_id","owner_id","post_type","pol"
"2735",5229,784,"Уважаемы мои! Что сейчас происходит в Славянске? Не обстреливают ли мирных жителей??? Я родом со Славянска просто вырос в России, но мне не безразлична судьба города. Как референдум? Был бы я сейчас там, с Вами, у Нас, в Славянске........","2014-05-11",201,75373315,-12892157,"post","Neutral or Pro-Ukrainian"
"2351",4599,86640,"Опрос: Вам нравится комендатский час в нашем городе Славянск?","2014-04-20",180,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"3217",6065,267043,"#Славянск 

Уважаемые жители и гости города!

Всех просим оставаться дома! Берегите себя и своих близких!

[club43636290|Славянск - Лучший город!]","2014-05-28",218,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"8551",14694,606416,"#Славянск

В Славянске разыгран ХІІ кубок по футболу «Звоны Чернобыля». ФОТО

Источник: http://www.6262.com.ua/news/807994","2015-04-24",549,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"14732",24305,679350,"Продукты для очистки организма после праздников

Во время новогодних праздников возникает множество соблазнов, в результате которых страдает печень. Чтобы после празднований оставаться в форме, нужно употреблять специальные продукты, о которых мы сейчас расскажем.

У вас проблемы с печенью если вы чувствуете:

• тяжесть в животе;

• потерю аппетита и тошноту;

• общую слабость, быструю утомляемость, недомогание;

• головные боли;

Добавьте в рацион:

1. Расторопшу

Весь секрет в силимарине, который действует как антиоксидант. Просто купите семяна этого растения в аптеке и принимайте, замочив в кипятке.

2. Шалфей

Настойка из шалфея выводит токсины и очищает печень.

3. Лимон и лайм

Если начать употреблять эти продукты, то желчь будет вырабатываться быстрее, соответственно пищеварение станет лучше.

4. Чеснок

Это продукт стимулирует работу печени и выводит токсины.

5. Грейпфрут

Выводит лишний жир из печени, а также борется с токсинами.

6. Свекла и морковь

Вещества, которые есть в этих овощах улучшают работу печени.

7. Зеленый чай

Этот напиток очищает организм от вредных веществ и токсинов, нормализирует работу печени.

8. Яблоки

Этот фрукт эффективно очищает от токсинов желудочно-кишечный тракт.

9. Орехи

Съев всего несколько орехов, вы стимулируете работу своих органов, а также очистку печени.

10. Капуста

Употребляйте капусту в любом виде – этот овощ нейтрализует токсины и улучшает работу печени.","2015-12-29",798,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"12733",20967,1516,"Боевики «ДНР» и «ЛНР» отправляются в Сирию
Опубликовано 28.09.2015 10:29

В последнее время в социальных сетях и интернет-ресурсах появляется информация о том, что боевики террористической организации «ДНР», покидают оккупированные ими города.

То есть люди, систематически пропагандировавшие идеи создания так называемой «Новороссии» и боровшиеся за русский мир, стали бросать граждан – граждан, которые им доверились и поверили в создание псевдореспублики. Причина – отъезд этих самых «активистов» за пределы страны.

Также стала известна информация о том, что массовое бегство боевиков имеет вполне логичное объяснение – в связи с новой политикой Кремля, членов незаконных бандформирований «ДНР/ЛНР» начали перебрасывать в Сирию для эскалации тамошнего военного конфликта.

Сами боевики не сильно возмущаются тем, что им придется воевать не на востоке Украины, а в арабской стране. Ведь за время военного конфликта на Донбассе уже почти все разграблено – что можно было «отжать», уже «отжали», а в Сирии большие запасы нефти, и денег там хватает.

Вот и делайте выводы, можно ли сравнивать (как это делают российские СМИ) боевиков «ДНР» с воинами красной армии, которые освобождали наши земли от фашистских оккупантов? Или же это просто наемники, которые пытаются заработать деньги на войне?!","2015-09-28",706,305166545,-12892157,"post","Neutral or Pro-Ukrainian"
"8636",14888,608008,"#Славянск

В Славянске снова чрезвычайная ситуация

Авария на канализационном коллекторе, отводящим стоки с микрорайона Артема, в Славянске признана чрезвычайной ситуацией.

Источник: http://slavdelo.dn.ua/2015/04/28/v-slavyanske-snova-chrezvyichaynaya-situatsiya/","2015-04-28",553,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"6495",10978,557088,"#Славянск 03.12.2014

ул. Генерала Батюка 46

Фото: [id175835197|Елизавета Булошник]","2014-12-03",407,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"15526",25416,687926,"[id44639319|Ляля Матвиенко]: Кто вчера ехал с жд на 18 маршруте примерно в 19.50. Я там потеряла кошелек. ..верните хотя-бы сам кошелек без денег (это ценный подарок) и содержимое - визитки, карточки. Пожалуйста!","2016-01-25",825,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"8071",13600,598339,"#Славянск 

Интернет аферы.","2015-03-26",520,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
