"id","title","area","region","extended","lon","lat"
1513086,"Абрикосовка","Олешківський / Цюрупинський район","Херсонська область","Абрикосовка Олешківський / Цюрупинський район",33.0711324,46.4876448
1512939,"Агайманы / Фрунзе","Іванівський район","Херсонська область","Агайманы / Фрунзе Іванівський район",34.2554689,46.6724382
1512875,"Азовское / Фрунзе","Генічеський район","Херсонська область","Азовское / Фрунзе Генічеський район",34.8639654,46.2644131
1512744,"Александровка","Білозерський район","Херсонська область","Александровка Білозерський район",32.1096481,46.6131676
1512942,"Александровка","Каланчацький район","Херсонська область","Александровка Каланчацький район",33.4785598,46.1190289
1513029,"Александровка","Новотроїцький район","Херсонська область","Александровка Новотроїцький район",34.4093625,46.3669637
1512895,"Александровка / Краснознаменка","Голопристанський район","Херсонська область","Александровка / Краснознаменка Голопристанський район",32.0238773,46.3033628
1513067,"Александровка / Птаховка","Скадовський район","Херсонська область","Александровка / Птаховка Скадовський район",33.0920135,46.2940647
1512880,"Алексеевка","Голопристанський район","Херсонська область","Алексеевка Голопристанський район",32.2360419,46.2900869
1512943,"Алексеевка","Каланчацький район","Херсонська область","Алексеевка Каланчацький район",33.4450134,46.0671668
1512878,"Алексеевка / Щорсовка","Генічеський район","Херсонська область","Алексеевка / Щорсовка Генічеський район",34.6807654,46.2573608
3959,"Алешки / Цюрупинск","Олешківський / Цюрупинський район","Херсонська область","Алешки / Цюрупинск Олешківський / Цюрупинський район",32.7072675,46.6199321
1512988,"Анатольевка","Нижньосірогозький район","Херсонська область","Анатольевка Нижньосірогозький район",34.4876234,47.0770394
1513056,"Антоновка","Скадовський район","Херсонська область","Антоновка Скадовський район",32.9529085,46.1424938
1513076,"Антоновка","Херсон город","Херсонська область","Антоновка Херсон город",32.6902348,46.6792807
1512958,"Архангельская Слобода","Каховський район","Херсонська область","Архангельская Слобода Каховський район",33.7056287,46.6356988
1512824,"Архангельское","Високопільський район","Херсонська область","Архангельское Високопільський район",33.4081022,47.429651
16738,"Аскания-Нова","Чаплинський район","Херсонська область","Аскания-Нова Чаплинський район",33.8723511,46.4566661
1512944,"Бабенковка Вторая","Каланчацький район","Херсонська область","Бабенковка Вторая Каланчацький район",33.3644684,46.2008848
