"","X","id","texts","date1","days","from_id","owner_id","post_type","pol","name","maidan","capturesep","charle"
"1",20710,27364,"Регистрация на ВНО начнется 3 января

В Украине с 3 января 2014 начнется регистрация для участия во внешнем независимом оценивании.

http://www.slavinfo.dn.ua/novosti/registratsiya-na-vno-nachnetsya-3-yanvarya","2014-01-01",1,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",209
"2",20711,27363,"Итоги столетия: за век зарплаты упали в восемь раз

Закончился 2013 год. А это значит, что на днях исполнится ровно сто лет с тех пор, как Российская империя, в состав которой тогда входила и Украина, достигла вершины своего расцвета. 

http://www.slavinfo.dn.ua/novosti/itogi-stoletiya-za-vek-zarplaty-upali-v-vosem-raz","2014-01-01",1,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",320
"3",20712,27362,"Украинцы смогут находиться в России не более трех месяцев на полгода

Граждане Украины с 1 января 2014 года смогут временно находиться на территории России в течение 90 суток за период полугода.

http://www.slavinfo.dn.ua/novosti/ukraintsy-smogut-nakhoditsya-v-rossii-ne-bolee-trekh-mesyatsev-na-polgoda","2014-01-01",1,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",303
"4",20713,27356,"Не все славянцы в новогоднюю ночь смогли воспользоваться обещанным городскими властями общественным транспортом

Для удобства жителей Славянска городские власти совместно с перевозчиками организовали работу общественного транспорта в новогоднюю ночь. 

http://www.slavinfo.dn.ua/novosti/ne-vse-slavyantsy-v-novogodnyuyu-noch-smogli-vospolzovatsya-obeshchannym-gorodskimi-vlastyam","2014-01-01",1,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",379
"5",20719,27284,"ВНИМАНИЕ! Соблюдайте правила

Уважаемые участники! За нецензуру, маты, ссылки, спам и рекламу участники будут добавлены в чёрный список!

Все кто выкладывает ссылки без уведомления администрации попадают в бан-лист!

Спасибо за понимание!)","2014-01-01",1,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",239
"6",20700,27457,"Список самых ожидаемых фильмов 2014 года :

1. Форсаж 7
2. 300 спартанцев: Расцвет империи
3. Люди Икс: Дни минувшего будущего
4. Трансформеры: Эпоха истребления
5. Хоббит: туда и обратно
6. Первый мститель: другая война
7. Черепашки-ниндзя
8. Как приручить дракона 2
9. Новый человек-паук. Глава 2
10. Робокоп
11. Жажда скорости
12. Годзилла
13. Рио 2
14. Грань будущего
15. Седьмой сын
16. Малефисента
17. Красавица и чудовище
18. Я, Франкенштейн
19. Неудержимые 3
20. Стражи галактики","2014-01-02",2,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",487
"7",20702,27451,"""Славхлеб"" выиграл турнир в Лозовой

В Лозовой, в местном Дворце спорта 26-29 декабря прошли соревнования по футболу среди юношей. На турнире приняло участие шесть футбольных коллективов, среди которых был и ""Славхлеб"".

http://slavinfo.dn.ua/novosti/slavkhleb-vyigral-turnir-v-lozovoi","2014-01-02",2,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",285
"8",20703,27450,"Начальник Краснолиманского ГАИ разбился в ДТП

Начальник Госавтоинспекции Красного Лимана Сергей Золотарев погиб в еще в канун новогодних праздников, вечером 30 декабря.

http://slavinfo.dn.ua/novosti/nachalnik-krasnolimanskogo-gai-razbilsya-v-dtp","2014-01-02",2,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",247
"9",20708,27418,"С 1 января изменилась регистрация плательщиков НДС и единщиков

Теперь предприниматели смогут подавать регистрационное заявление в электронном виде и уже при регистрации сообщать о выбранной системе налогообложения

С 1 января вступают в силу изменения в Закон «О государственной регистрации юридических лиц и физических лиц — предпринимателей» относительно упрощения регистрации лиц в качестве налогоплательщиков и изменения в порядок подачи заявления о добровольной регистрации плательщика НДС и/или избрании упрощенной системы налогообложения, сообщает Лига.Закон.
 
Согласно первому документу, уже при регистрации предприниматель может подать специальное заявление и сообщить о своей добровольной регистрации как плательщика НДС и/или избрании упрощенной системы налогообложения. 

Потом госрегистратор передает скан этого заявления в налоговую одновременно со сведениями регистрационной карточки. 

А изменения в порядок подачи заявления о добровольной регистрации плательщика НДС и/или избрании упрощенной системы налогообложения позволяют налогоплательщикам, заключившим с контролирующим органом договор о признании электронных документов, подавать регистрационное заявление в электронном виде. 

Также дополнен и существующий перечень способов подачи регистрационного заявления. Теперь и налогоплательщик, и госрегистратор смогут делать это в электронной форме.

Напомним, с января 2014 года также вступают в силу изменения в Налоговый кодекс относительно учета и регистрации налогоплательщиков и усовершенствования некоторых положений.","2014-01-02",2,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",1544
"10",20690,27509,"Хотите остаться здоровыми после праздников? Пейте и ешьте в меру!

Парадоксальная ситуация: люди копят деньги, порой отказывая себе в необходимом, для того, чтобы под Новый год приготовить и за короткое время съесть груду всевозможных высококалорийных деликатесов а также купить и выпить огромное количество спиртного.

http://tvplus.dn.ua/pg/news/14/full/id=11546;","2014-01-03",3,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",365
"11",20691,27508,"«Репродуктивное здоровье нации»: славянских медиков тревожит количество абортов и женская онкология

В Славянске на городском медицинском совете, состоявшемся 19 декабря, была заслушана информация о выполнении на местном уровне заданий Государственной программы «Репродуктивное здоровье нации». Эта программа направлена на улучшение демографической ситуации, укрепление репродуктивного здоровья населения, предупреждение случаев материнской и детской смертности.

http://tvplus.dn.ua/pg/news/14/full/id=11545;","2014-01-03",3,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",509
"12",20693,27495,"Уважаемые участницы конкурса!

Не соблюдение одного из правил может повлечь за собой исключение из конкурса. Читайте внимательней пожалуйста!

Чаще всего не соблюдается:
3. Поделиться данной новостью на своей странице (РЕПОСТ);","2014-01-03",3,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",227
"13",20694,27487,"В Славянске трёхлетняя девочка сутки просидела сама в запертой квартире, пока мама встречала Новый год с друзьями

1 января около 9.00 утра дворник Наталья Михайловна, убирая территорию в районе центральной площади, услышала громкий детский плач. Взволнованная женщина зашла во двор многоэтажки (ул. Ленина, 42) и увидела, что на балконе пятого этажа плачет маленькая девочка и зовёт маму.

http://slavinfo.dn.ua/novosti/v-slavyanske-trekhletnyaya-devochka-sutki-prosidela-sama-v-zapertoi-kvartire-poka-mama-vstre","2014-01-03",3,-43636290,-43636290,"post","Neutral or Pro-Ukrainian","Славянск - лучший город!","before 23rd of February 2014","before 12 of April 2014",513
